Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Bahamas, The",BHS,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494
Bahrain,BHR,0.31884058,0.34057971,0.352112676,0.373239437,0.394366197,0.415492958,0.436619718,0.457746479,0.478873239,0.5,0.521126761,0.542253521,0.563380282,0.576388889,0.589041096,0.601351351,0.621621622,0.633333333,0.644736842,0.664473684,0.682414698,0.698826597,0.716883117,0.737662338,0.757457847,0.771208226,0.795892169,0.820512821,0.848329049,0.871794872,0.891719745,0.911392405
Bangladesh,BGD,14.75247753,14.75247599,14.75247446,14.75247292,14.75247138,14.75246985,14.75246908,14.75246754,14.75246601,14.75246447,14.75246293,14.72789045,14.70331797,14.67874549,14.654173,14.62960052,14.60502804,14.58045556,14.55588308,14.53130983,14.50673734,14.4991442,14.49155105,14.4839579,14.47636475,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161
Barbados,BRB,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279
Belarus,BLR,,,38.82460774,39.07448298,39.32018257,39.56513595,39.81089848,40.05373296,40.30192921,40.54379175,40.78423253,40.9610341,41.14007366,41.3166951,41.49495846,41.66728294,41.82864803,42.00521437,42.18095435,42.3577364,42.53284837,42.53462126,42.54037723,42.54194019,42.53176531,42.53416626,42.90696987,42.97840266,43.05153217,43.12615476,43.19440339,43.27223454
Belgium,BEL,,,,,,,,,,,22.03764861,22.11218626,22.18672391,22.26126156,22.33579921,22.41033686,22.4848745,22.55941215,22.6339498,22.70848745,22.7830251,22.77926024,22.77549538,22.77173052,22.76796565,22.76420079,22.76420079,22.76420079,22.76420079,22.76420079,22.76420079,22.76420079
Belize,BLZ,70.1459886,69.52902236,68.91205612,68.29508987,67.67812363,67.06115739,66.44419114,65.8272249,65.21025866,64.59329242,63.97632617,63.67860587,63.38088558,63.08316528,62.78544498,62.48772468,62.19000438,61.89228409,61.59456379,61.29684349,60.99912319,60.48566418,59.97220517,59.45874616,58.94528715,58.43182815,57.94300745,57.45374836,56.96492766,56.47566857,55.98640947,55.49715037
Benin,BEN,42.88001064,42.25922313,41.63843562,41.0176481,40.39686059,39.77607308,39.15528556,38.53449805,37.91371054,37.29292302,36.67213551,36.22871586,35.7852962,35.34187655,34.8984569,34.45503725,34.01161759,33.56819794,33.12477829,32.68135864,32.23793899,31.79451933,31.35109968,30.90768003,30.46426038,30.02084072,29.57742107,29.13400142,28.69058177,28.24716211,27.80374246,27.36032281
Bermuda,BMU,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852
Bhutan,BTN,53.65066455,53.86315091,54.07563727,54.28812362,63.98070352,64.23015075,64.47959799,64.72904523,64.97849246,65.2279397,65.47738693,65.7268593,65.97633166,66.22580402,69.41039431,69.67088176,69.93136921,70.19185665,70.4523441,70.71283154,70.97331899,71.02521185,71.0771047,71.12899756,71.18089042,71.23278327,71.23427013,71.28617869,71.34556896,71.39748296,71.44939696,71.50131096
